"","fvegHW90mask","aetfeb_90m","cwdfeb_90m","pptfeb_90m","pptdjf_90m","pptjja_90m","tmnfeb_90m","tmxfeb_90m","tmxjja_90m","tmndjf_90m","longitude","latitude"
"1",15,42.5519981384277,0,106.572303771973,104.628898620605,1.85780000686646,4.73799991607666,15.5286998748779,27.8148994445801,3.99469995498657,-148939.870183338,-46849.0440850342
"2",15,43.3662986755371,0,113.666702270508,113.610702514648,1.77530002593994,6.37430000305176,15.6743001937866,23.6702003479004,5.65899991989136,-185044.019660722,-30961.0194165003
"3",15,43.3662986755371,0,113.666702270508,113.610702514648,1.77530002593994,6.37430000305176,15.6743001937866,23.6702003479004,5.65899991989136,-185044.019660722,-30961.0194165003
"4",5,44.310001373291,0,92.9459991455078,89.8442993164062,1.49600005149841,7.05200004577637,16.0450000762939,24.7115993499756,6.08869981765747,-180576.241105654,-41377.5457223682
"5",5,43.6100006103516,0,119.151000976562,115.477996826172,1.85909998416901,7.730299949646,15.8839998245239,22.2527008056641,6.94379997253418,-197295.956817071,-18114.9393746168
"6",15,42.6957015991211,1.31200003623962,107.200302124023,104.814399719238,1.8507000207901,5.29670000076294,15.8583002090454,27.6131992340088,4.7613000869751,-161392.04593689,-54191.8861872265
"7",15,42.3452987670898,0,108.452003479004,106.350601196289,1.85319995880127,5.40030002593994,15.4617004394531,27.1420993804932,4.98509979248047,-160940.359650389,-55448.0846812949
"8",2,41.2433013916016,0,162.822296142578,164.4208984375,4.93499994277954,3.58599996566772,13.8566999435425,31.8910007476807,2.99090003967285,-55925.0930524202,45613.7556982427
"9",2,41.2433013916016,0,162.822296142578,164.4208984375,4.93499994277954,3.58599996566772,13.8566999435425,31.8910007476807,2.99090003967285,-55925.0930524202,45613.7556982427
"10",15,18.4213008880615,0,325.21630859375,337.016815185547,17.3502006530762,-0.146699994802475,12.2966995239258,32.8386993408203,-0.622699975967407,-160823.316340724,335430.704401165
"11",1,0,0,151.905700683594,163.605697631836,20.8948993682861,-6.54530000686646,6.0282998085022,23.224100112915,-6.54809999465942,-132410.091329082,279118.282037864
"12",7,28.5746994018555,0,322.197692871094,330.636199951172,10.0117998123169,2.03800010681152,11.7546997070312,28.6961002349854,2.16420006752014,-115379.454444659,186898.218268151
"13",15,37.2667007446289,0,161.092300415039,165.327896118164,5.50860023498535,5.37629985809326,15.5087003707886,33.4430999755859,4.21799993515015,-128780.26921133,168247.767300929
"14",15,36.6032981872559,0,184.266006469727,193.020401000977,6.45629978179932,5.59070014953613,15.0396995544434,32.7932014465332,4.54879999160767,-124569.443245097,168336.748372266
"15",15,43.5833015441895,0.0970000028610229,138.52799987793,141.093307495117,3.60689997673035,3.27230000495911,14.9427003860474,33.0152015686035,2.45359992980957,-41591.801406638,4176.63448273297
"16",15,43.5833015441895,0.0970000028610229,138.52799987793,141.093307495117,3.60689997673035,3.27230000495911,14.9427003860474,33.0152015686035,2.45359992980957,-41591.801406638,4176.63448273297
"17",15,43.5833015441895,0.0970000028610229,138.52799987793,141.093307495117,3.60689997673035,3.27230000495911,14.9427003860474,33.0152015686035,2.45359992980957,-41591.801406638,4176.63448273297
"18",15,37.4770011901855,0,165.656997680664,167.028396606445,4.78200006484985,2.01370000839233,14.2040004730225,31.2451992034912,1.36440002918243,-45549.6324943022,39330.4579778598
"19",15,42.1967010498047,0,140.392303466797,135.623992919922,2.71160006523132,7.34999990463257,14.5403003692627,25.1986999511719,6.67990016937256,-197185.495577203,-10075.7089178702
"20",15,42.1967010498047,0,140.392303466797,135.623992919922,2.71160006523132,7.34999990463257,14.5403003692627,25.1986999511719,6.67990016937256,-197185.495577203,-10075.7089178702
"21",5,42.5466995239258,0,136.639007568359,132.375900268555,2.56270003318787,6.95529985427856,14.8166999816895,25.3696002960205,6.33799982070923,-198875.265562182,-10252.3401480997
"22",15,42.0867004394531,0,136.783004760742,132.591705322266,2.58669996261597,6.90829992294312,14.7760000228882,25.6018009185791,6.25699996948242,-197585.315510047,-9935.01274179993
"23",15,41.0157012939453,0,133.926300048828,130.118698120117,2.50469994544983,6.4387001991272,15.2019996643066,24.2800998687744,5.8270001411438,-198318.115717887,-10462.4557697559
"24",4,42.8633003234863,0,142.422302246094,137.328002929688,2.72709989547729,7.55530023574829,14.3629999160767,25.1030006408691,6.83010005950928,-197569.268971286,-10369.0667945175
"25",15,42.926700592041,0,134.598999023438,130.88020324707,2.55310010910034,7.16669988632202,14.7347002029419,25.5741996765137,6.53310012817383,-198066.090908128,-8620.33977073338
"26",2,42.6800003051758,0,142.095001220703,137.130401611328,2.81489992141724,7.41429996490479,14.4020004272461,25.5589008331299,6.69840002059937,-197243.934686294,-10540.2443251805
"27",2,42.6800003051758,0,142.095001220703,137.130401611328,2.81489992141724,7.41429996490479,14.4020004272461,25.5589008331299,6.69840002059937,-197243.934686294,-10540.2443251805
"28",15,42.1967010498047,0,140.392303466797,135.623992919922,2.71160006523132,7.34999990463257,14.5403003692627,25.1986999511719,6.67990016937256,-197185.495577203,-10075.7089178702
"29",2,42.5532989501953,0,134.542297363281,130.790802001953,2.58200001716614,6.86129999160767,14.8332996368408,25.7418003082275,6.25769996643066,-197932.860586408,-8667.9892223184
"30",4,42.1063003540039,0,130.085998535156,126.894798278809,2.33189988136292,6.37169981002808,15.4503002166748,23.7985992431641,5.7701997756958,-199181.564161156,-9140.81201261701
"31",4,42.1063003540039,0,130.085998535156,126.894798278809,2.33189988136292,6.37169981002808,15.4503002166748,23.7985992431641,5.7701997756958,-199181.564161156,-9140.81201261701
"32",5,39.6446990966797,0,160.978698730469,163.720397949219,4.34759998321533,3.30870008468628,14.8802995681763,32.3291015625,2.33870005607605,-73662.0578948181,74400.6630221941
"33",15,37.6176986694336,0,201.405303955078,206.365295410156,6.2487998008728,3.08270001411438,13.2236995697021,31.1119003295898,2.85669994354248,-72685.453563838,99324.3932892531
"34",15,37.6176986694336,0,201.405303955078,206.365295410156,6.2487998008728,3.08270001411438,13.2236995697021,31.1119003295898,2.85669994354248,-72685.453563838,99324.3932892531
"35",15,37.6176986694336,0,201.405303955078,206.365295410156,6.2487998008728,3.08270001411438,13.2236995697021,31.1119003295898,2.85669994354248,-72685.453563838,99324.3932892531
"36",15,37.6176986694336,0,201.405303955078,206.365295410156,6.2487998008728,3.08270001411438,13.2236995697021,31.1119003295898,2.85669994354248,-72685.453563838,99324.3932892531
"37",15,21.5116996765137,0,157.983993530273,186.545394897461,8.68970012664795,0.854300022125244,9.55070018768311,27.3609008789062,0.794200003147125,-233578.86393177,184651.345880689
"38",2,31.9027004241943,0,234.037704467773,262.872009277344,9.76459980010986,2.88969993591309,13.1533002853394,29.4761009216309,2.82039999961853,-309093.833922094,257043.254831246
"39",2,31.9027004241943,0,234.037704467773,262.872009277344,9.76459980010986,2.88969993591309,13.1533002853394,29.4761009216309,2.82039999961853,-309093.833922094,257043.254831246
