"","x","fveg","bird","mammal","reptile","aet","cwd","ppt","pptdjf","pptjja","tmn","tmx","tmxjja","tmndjf","longitude","latitude","Back"
"1",1,11,166,37,9,325.836700439453,979.369995117188,327.386688232422,60.0727996826172,0.875199973583221,9.36330032348633,24.0300006866455,33.2160987854004,4.02120018005371,-122492.728985066,-26154.5462699709,1
"2",2,15,187,47,17,322.726715087891,851.753295898438,662.63671875,121.468597412109,2.01780009269714,8.88669967651367,19.6499996185303,24.843599319458,5.4640998840332,-185784.756251838,-25874.1033316934,1
"3",3,15,152,47,22,358.769989013672,818.909973144531,567.603271484375,104.628898620605,1.85780000686646,8.5,21.2999992370605,27.8148994445801,3.99469995498657,-148937.889891543,-46737.896251997,1
"4",4,15,152,47,22,358.769989013672,818.909973144531,567.603271484375,104.628898620605,1.85780000686646,8.5,21.2999992370605,27.8148994445801,3.99469995498657,-148937.889891543,-46737.896251997,1
"5",5,15,153,47,22,358.769989013672,818.909973144531,567.603271484375,104.628898620605,1.85780000686646,8.5,21.2999992370605,27.8148994445801,3.99469995498657,-148939.870183336,-46849.0440850328,1
"6",6,15,189,47,17,362.093292236328,816.053283691406,613.973327636719,113.610702514648,1.77530002593994,9.24330043792725,19.7166996002197,23.6702003479004,5.65899991989136,-185044.01966072,-30961.0194165003,1
"7",7,15,189,47,17,362.093292236328,816.053283691406,613.973327636719,113.610702514648,1.77530002593994,9.24330043792725,19.7166996002197,23.6702003479004,5.65899991989136,-185044.01966072,-30961.0194165003,1
"8",8,15,189,47,17,362.093292236328,816.053283691406,613.973327636719,113.610702514648,1.77530002593994,9.24330043792725,19.7166996002197,23.6702003479004,5.65899991989136,-185044.01966072,-30961.0194165003,1
"9",9,15,189,47,17,362.093292236328,816.053283691406,613.973327636719,113.610702514648,1.77530002593994,9.24330043792725,19.7166996002197,23.6702003479004,5.65899991989136,-185044.01966072,-30961.0194165003,1
"10",10,15,189,47,17,362.093292236328,816.053283691406,613.973327636719,113.610702514648,1.77530002593994,9.24330043792725,19.7166996002197,23.6702003479004,5.65899991989136,-185018.603837028,-31006.0605807821,1
"11",11,7,188,48,17,359.029998779297,831.033325195312,728.396728515625,133.409805297852,2.5158998966217,9.50329971313477,19.38330078125,25.0067005157471,6.31230020523071,-190427.007627436,-20309.6663465849,1
